policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_1.lp,3,50,0.84,0.0,optimal,0.991709915921092,0.9803079950000004
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_1.lp,3,75,0.97,0.0,optimal,1.2109988331794739,1.2101678920000012
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_1.lp,9,76,1.36,0.0,optimal,1.5831933273002505,1.5821995270000002
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_1.lp,5,82,0.97,0.0,optimal,1.167050743009895,1.1666072340000007
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_1.lp,3,65,1.02,0.0,optimal,1.2226651599630713,1.2221321200000013
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_1.lp,43,83,0.68,0.0,optimal,0.8396277818828821,0.839323174999997
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_1.lp,29,88,0.75,0.0,optimal,0.9266539881937206,0.926410661000002
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_1.lp,39,109,0.82,0.0,optimal,1.052076790947467,1.0519075089999994
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_1.lp,31,106,0.78,0.0,optimal,0.9844033070839942,0.983950944
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_1.lp,35,76,0.74,0.0,optimal,0.8797121276147664,0.8793611299999995
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_1.lp,77,142,0.82,0.0,optimal,1.0027834568172693,1.0023200989999985
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_1.lp,49,106,0.81,0.0,optimal,0.9673194466158748,0.9668594130000017
gcnn:mdp,2,test,data/instances/cauctions/test_100_500/instance_1.lp,61,175,0.92,0.0,optimal,1.1477262983098626,1.1471014180000019
gcnn:mdp,3,test,data/instances/cauctions/test_100_500/instance_1.lp,61,140,0.87,0.0,optimal,1.0739869512617588,1.0735087459999981
