policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.48,0.0,optimal,1.7550780230667442,1.746578491000001
internal:relpscost,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.88,0.0,optimal,3.2159654239658266,3.2150075069999993
internal:relpscost,2,test,data/instances/indset/test_500_4/instance_1.lp,1,26,2.77,0.0,optimal,3.165820362046361,3.1650896720000006
internal:relpscost,3,test,data/instances/indset/test_500_4/instance_1.lp,1,25,3.05,0.0,optimal,3.4354625390842557,3.4345348349999973
internal:relpscost,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.04,0.0,optimal,2.352329340064898,2.351662417
gcnn:il,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.49,0.0,optimal,1.7192009680438787,1.7190898509999997
gcnn:il,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.89,0.0,optimal,3.199101608013734,3.198684618999998
gcnn:il,2,test,data/instances/indset/test_500_4/instance_1.lp,9,34,2.58,0.0,optimal,2.9483041109051555,2.946451842000002
gcnn:il,3,test,data/instances/indset/test_500_4/instance_1.lp,5,29,3.02,0.0,optimal,3.4154645139351487,3.4151576379999966
gcnn:il,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.07,0.0,optimal,2.348549932008609,2.3483413900000016
gcnn:mdp,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.46,0.0,optimal,1.7081642139237374,1.7080284170000013
gcnn:mdp,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.88,0.0,optimal,3.2041326977778226,3.2037694559999963
gcnn:mdp,2,test,data/instances/indset/test_500_4/instance_1.lp,10,36,2.55,0.0,optimal,2.9605091460980475,2.9600492589999945
gcnn:mdp,3,test,data/instances/indset/test_500_4/instance_1.lp,13,37,3.09,0.0,optimal,3.503580931806937,3.503055734
gcnn:mdp,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.04,0.0,optimal,2.329439404886216,2.3292533790000007
gcnn:tmdp+DFS,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.51,0.0,optimal,1.7405800248961896,1.7403792859999996
gcnn:tmdp+DFS,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.93,0.0,optimal,3.196035902015865,3.195645558999999
gcnn:tmdp+DFS,2,test,data/instances/indset/test_500_4/instance_1.lp,10,36,2.65,0.0,optimal,2.997001157840714,2.9966832870000033
gcnn:tmdp+DFS,3,test,data/instances/indset/test_500_4/instance_1.lp,13,37,3.13,0.0,optimal,3.525088631082326,3.5244509439999945
gcnn:tmdp+DFS,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.04,0.0,optimal,2.3710797731764615,2.370827523999992
gcnn:tmdp+ObjLim,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.51,0.0,optimal,1.7272977051325142,1.7276533789999888
gcnn:tmdp+ObjLim,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.9,0.0,optimal,3.2188581679947674,3.218404316999994
gcnn:tmdp+ObjLim,2,test,data/instances/indset/test_500_4/instance_1.lp,10,36,2.59,0.0,optimal,2.9993896139785647,2.998456037000011
gcnn:tmdp+ObjLim,3,test,data/instances/indset/test_500_4/instance_1.lp,13,37,3.08,0.0,optimal,3.5200336519628763,3.519467481999996
gcnn:tmdp+ObjLim,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.08,0.0,optimal,2.3656118409708142,2.365119286999999
gcnn:iql_retro_off,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.48,0.0,optimal,1.7281854359898716,1.7280350429999913
