policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,959,740,1.0,0.0,optimal,2.2455072689335793,2.2419683389999996
internal:relpscost,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,378,1274,1.23,0.0,optimal,2.07407330092974,2.073554699999999
internal:relpscost,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,461,645,0.95,0.0,optimal,2.2068508421070874,2.206216287
internal:relpscost,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,216,284,0.57,0.0,optimal,1.0947335630189627,1.0944371970000013
internal:relpscost,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,116,242,0.57,0.0,optimal,1.1685930259991437,1.168276469000002
gcnn:il,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,784,738,2.03,0.0,optimal,3.0951618971303105,3.0963967009999998
gcnn:il,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,834,696,1.97,0.0,optimal,3.158380798995495,3.154549380999999
gcnn:il,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,172,389,0.91,0.0,optimal,1.6575191130395979,1.656510358000002
gcnn:il,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,517,895,1.81,0.0,optimal,2.9542655870318413,2.9515247730000027
gcnn:il,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,1871,1368,3.88,0.0,optimal,6.0839057778939605,6.088655657999993
gcnn:mdp,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,202,209,0.69,0.0,optimal,1.0654196629766375,1.0644282619999998
gcnn:mdp,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,152,421,0.66,0.0,optimal,0.999602614203468,0.9985580720000016
gcnn:mdp,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,232,308,0.91,0.0,optimal,1.6206219140440226,1.6193937849999998
gcnn:mdp,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,257,302,0.89,0.0,optimal,1.4543705680407584,1.4551566539999996
gcnn:mdp,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,216,305,0.85,0.0,optimal,1.5144333310890943,1.513254663000005
gcnn:tmdp+DFS,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,627,685,1.57,0.0,optimal,2.560447297990322,2.561900211000001
gcnn:tmdp+DFS,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,281,2095,2.0,0.0,optimal,3.0432405630126595,3.0407984990000045
gcnn:tmdp+DFS,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,133,233,0.74,0.0,optimal,1.4311295389197767,1.4302087599999993
gcnn:tmdp+DFS,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,46,147,0.46,0.0,optimal,0.8367757250089198,0.8364698329999953
gcnn:tmdp+DFS,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,246,318,0.97,0.0,optimal,1.6904012369923294,1.690023072999999
gcnn:tmdp+ObjLim,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,168,179,0.63,0.0,optimal,0.9643453760072589,0.9647751349999965
gcnn:tmdp+ObjLim,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,361,976,1.45,0.0,optimal,2.404681348009035,2.405335968000003
gcnn:tmdp+ObjLim,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,311,542,1.28,0.0,optimal,2.178175640059635,2.179163112000005
gcnn:tmdp+ObjLim,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,101,192,0.77,0.0,optimal,1.184513967949897,1.1837049350000015
gcnn:tmdp+ObjLim,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,129,242,0.76,0.0,optimal,1.3500725671183318,1.3493460509999977
gcnn:iql_tmdp+DFS_off,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,1291,1751,3.22,0.0,optimal,4.785600326023996,4.788672246000004
gcnn:iql_tmdp+DFS_off,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,144,362,0.89,0.0,optimal,1.1500144910532981,1.1486237550000027
gcnn:iql_tmdp+DFS_off,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,176,279,0.77,0.0,optimal,1.4790121759288013,1.4789060700000078
gcnn:iql_tmdp+DFS_off,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,135,208,0.76,0.0,optimal,1.1531199370510876,1.1535469180000035
gcnn:iql_tmdp+DFS_off,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,186,261,0.73,0.0,optimal,1.3685363810509443,1.3676453549999934
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,359,454,1.27,0.0,optimal,2.0101600119378418,2.0082374979999997
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,198,239,0.69,0.0,optimal,0.9577798461541533,0.9567987249999987
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,111,270,0.83,0.0,optimal,1.5316710420884192,1.5307227150000102
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,226,271,0.98,0.0,optimal,1.4920832051429898,1.4921619539999966
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,168,256,0.85,0.0,optimal,1.49208441702649,1.4923910800000044
gcnn:iql_mdp_off,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,256,218,0.86,0.0,optimal,1.2843086400534958,1.2849666569999982
gcnn:iql_mdp_off,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,473,0.93,0.0,optimal,1.469631695188582,1.4684293010000005
gcnn:iql_mdp_off,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,674,694,1.92,0.0,optimal,3.1134628979489207,3.1151569729999977
gcnn:iql_mdp_off,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,1215,1079,3.05,0.0,optimal,4.669469675980508,4.6691604030000065
gcnn:iql_mdp_off,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,140,242,0.76,0.0,optimal,1.3675369401462376,1.3676542169999948
gcnn:iql_tmdp+DFS_on,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,451,1081,1.48,0.0,optimal,2.475155825028196,2.4746030849999983
gcnn:iql_tmdp+DFS_on,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,195,463,0.76,0.0,optimal,1.059189260005951,1.059689358
gcnn:iql_tmdp+DFS_on,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,52,189,0.69,0.0,optimal,1.3453031489625573,1.3448445129999982
gcnn:iql_tmdp+DFS_on,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,230,0.77,0.0,optimal,1.498823727015406,1.4995443239999986
gcnn:iql_tmdp+DFS_on,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,256,313,0.97,0.0,optimal,1.9440399361774325,1.9444137039999987
gcnn:iql_tmdp+ObjLim_on,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,390,553,1.19,0.0,optimal,1.7384139790665358,1.737552358000002
gcnn:iql_tmdp+ObjLim_on,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,81,288,0.54,0.0,optimal,0.7552220281213522,0.7554154970000013
gcnn:iql_tmdp+ObjLim_on,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,106,215,0.72,0.0,optimal,1.4778848050627857,1.477203762000002
gcnn:iql_tmdp+ObjLim_on,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,230,0.95,0.0,optimal,1.7679346159566194,1.7665786270000012
gcnn:iql_tmdp+ObjLim_on,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,165,257,0.74,0.0,optimal,1.3898598770610988,1.390166493999999
gcnn:iql_mdp_on,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,396,458,1.12,0.0,optimal,2.0038427428808063,2.0036524419999893
gcnn:iql_mdp_on,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,141,288,0.59,0.0,optimal,0.8662896929308772,0.8666303649999918
gcnn:iql_mdp_on,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,119,238,0.6,0.0,optimal,1.3033959290478379,1.3035488240000035
gcnn:iql_mdp_on,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,230,0.78,0.0,optimal,1.53269111411646,1.5330590479999984
gcnn:iql_mdp_on,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,247,312,0.8,0.0,optimal,1.5459572349209338,1.5465884740000035
internal:relpscost,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.37,0.0,optimal,1.096149019896984,1.0880452050000002
internal:relpscost,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,10890,9098,3.87,0.0,optimal,11.17961844499223,11.17759840299999
internal:relpscost,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,53310,43840,25.28,0.0,optimal,63.433588090818375,63.419009552000006
internal:relpscost,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,906,0.57,0.0,optimal,1.204430801793933,1.2040444040000011
internal:relpscost,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,545,634,1.1,0.0,optimal,2.356232270831242,2.3554264409999917
gcnn:il,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.39,0.0,optimal,1.055986626073718,1.0556459610000104
gcnn:il,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,12520,9926,19.9,0.0,optimal,28.212155519984663,28.24142737699998
gcnn:il,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,169,340,0.78,0.0,optimal,1.4628810291178524,1.4618507399999885
gcnn:il,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,39,238,0.41,0.0,optimal,0.7397099109366536,0.7398539659999983
gcnn:il,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,1270,1.57,0.0,optimal,2.482847718987614,2.483224573000001
gcnn:mdp,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.47,0.0,optimal,1.213490410009399,1.2131602949999944
gcnn:mdp,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,1702,1468,3.45,0.0,optimal,5.205571784172207,5.198423609999992
gcnn:mdp,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,1804,1470,3.69,0.0,optimal,5.826771116815507,5.824565110999998
gcnn:mdp,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,103,147,0.55,0.0,optimal,0.8545666260179132,0.8549737230000005
gcnn:mdp,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,356,521,1.46,0.0,optimal,2.467739398824051,2.4683644230000255
gcnn:tmdp+DFS,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.5,0.0,optimal,1.161697437055409,1.1613504569999975
gcnn:tmdp+DFS,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,169,378,0.77,0.0,optimal,1.1343496509362012,1.1333776280000052
gcnn:tmdp+DFS,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,166,278,0.79,0.0,optimal,1.3573482509236783,1.3563808010000002
gcnn:tmdp+DFS,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,131,444,0.65,0.0,optimal,1.0241711728740484,1.0245286809999925
gcnn:tmdp+DFS,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,235,474,1.26,0.0,optimal,2.1640794491395354,2.164319378000016
gcnn:tmdp+ObjLim,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.49,0.0,optimal,1.284239815082401,1.284019260000008
gcnn:tmdp+ObjLim,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,1298,1188,2.87,0.0,optimal,4.291002705926076,4.291735093999989
gcnn:tmdp+ObjLim,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,375,478,1.13,0.0,optimal,2.0052158820908517,2.0056701949999933
gcnn:tmdp+ObjLim,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,136,240,0.52,0.0,optimal,0.9240198628976941,0.9231951240000171
gcnn:tmdp+ObjLim,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,380,655,1.63,0.0,optimal,2.6137600680813193,2.6118249450000235
gcnn:iql_tmdp+DFS_off,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.51,0.0,optimal,1.265760735142976,1.265492418000008
gcnn:iql_tmdp+DFS_off,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,525,0.95,0.0,optimal,1.3486114139668643,1.3473274579999952
gcnn:iql_tmdp+DFS_off,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,247,532,0.97,0.0,optimal,1.7163112869020551,1.7148343389999923
gcnn:iql_tmdp+DFS_off,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,475,0.75,0.0,optimal,1.197225711075589,1.1975645410000197
gcnn:iql_tmdp+DFS_off,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,195,578,1.07,0.0,optimal,1.8744493210688233,1.873470693999991
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.5,0.0,optimal,1.1809694299008697,1.1806581989999927
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,247,387,0.92,0.0,optimal,1.611864629900083,1.6106168160000038
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,176,266,0.81,0.0,optimal,1.5436179200187325,1.5422516790000032
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,465,0.73,0.0,optimal,1.1710790051147342,1.1714164539999956
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,192,691,1.22,0.0,optimal,1.9518641508184373,1.9504743239999698
gcnn:iql_mdp_off,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.49,0.0,optimal,1.1856835440266877,1.185430963999977
gcnn:iql_mdp_off,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,163,555,0.79,0.0,optimal,1.0874234789516777,1.0875777379999931
gcnn:iql_mdp_off,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,285,371,1.02,0.0,optimal,1.84812795300968,1.8474907179999605
gcnn:iql_mdp_off,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,67,369,0.6,0.0,optimal,0.9654662520624697,0.9647716460000311
gcnn:iql_mdp_off,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,471,1.24,0.0,optimal,2.0409663668833673,2.041014971999971
gcnn:iql_tmdp+DFS_on,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.54,0.0,optimal,1.277669713832438,1.2772330970000212
gcnn:iql_tmdp+DFS_on,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,199,692,0.94,0.0,optimal,1.3560245549306273,1.3563317190000248
gcnn:iql_tmdp+DFS_on,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,875,802,2.15,0.0,optimal,3.6189089429099113,3.6145749930000193
gcnn:iql_tmdp+DFS_on,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,475,0.8,0.0,optimal,1.250128431012854,1.249054639999997
gcnn:iql_tmdp+DFS_on,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,540,1.13,0.0,optimal,1.7801480509806424,1.7805111029999807
gcnn:iql_tmdp+ObjLim_on,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.47,0.0,optimal,1.1507632650900632,1.150543736999964
gcnn:iql_tmdp+ObjLim_on,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,243,676,1.16,0.0,optimal,1.8655484491027892,1.866090913999983
gcnn:iql_tmdp+ObjLim_on,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,768,697,1.8,0.0,optimal,3.0462472699582577,3.048075603999962
gcnn:iql_tmdp+ObjLim_on,3,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,475,0.84,0.0,optimal,1.3248292999342084,1.3233914570000138
gcnn:iql_tmdp+ObjLim_on,4,test,data/instances/mknapsack/test_100_6/instance_2.lp,201,403,1.01,0.0,optimal,1.6907164871226996,1.6900950589999866
gcnn:iql_mdp_on,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.49,0.0,optimal,1.2157139650080353,1.2155007800000135
gcnn:iql_mdp_on,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,182,644,0.86,0.0,optimal,1.2177488659508526,1.2181661770000005
gcnn:iql_mdp_on,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,631,557,1.75,0.0,optimal,3.0761052870657295,3.0729364759999953
