policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,3,75,2.25,0.0,optimal,2.51385688316077,2.5127604959999985
internal:relpscost,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,3,80,2.69,0.0,optimal,3.0066924523562193,3.0053069569999984
internal:relpscost,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,5,86,2.34,0.0,optimal,2.668543512932956,2.6675449970000003
internal:relpscost,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,5,79,2.32,0.0,optimal,2.586508764885366,2.585324180999997
internal:relpscost,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,5,80,2.56,0.0,optimal,2.8004782260395586,2.799429517
gcnn:il,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,25,92,1.64,0.0,optimal,1.8765466548502445,1.8760756020000002
gcnn:il,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,25,90,1.5,0.0,optimal,1.689087123144418,1.6886504659999986
gcnn:il,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,30,109,1.68,0.0,optimal,1.8962060920894146,1.895837917999998
gcnn:il,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,32,129,1.74,0.0,optimal,1.9477702961303294,1.947596081999997
gcnn:il,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,31,144,1.78,0.0,optimal,1.9896978409960866,1.9898741030000053
gcnn:mdp,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,63,130,1.77,0.0,optimal,2.046378239057958,2.045790349999997
gcnn:mdp,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,89,190,1.72,0.0,optimal,1.9668386741541326,1.9666458350000013
gcnn:mdp,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,76,170,1.77,0.0,optimal,2.10507731186226,2.104314191999997
gcnn:mdp,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,120,229,2.03,0.0,optimal,2.369883523322642,2.3695992009999998
gcnn:mdp,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,112,227,2.03,0.0,optimal,2.3552084830589592,2.3543085969999993
