policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,10218,12830,47.47,0.0,optimal,58.06689567305148,58.050097592
internal:relpscost,1,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,5218,6319,20.73,0.0,optimal,26.467179793398827,26.463145318000002
internal:relpscost,2,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,545,810,5.72,0.0,optimal,7.0730242296122015,7.071968932999994
internal:relpscost,3,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,4954,6527,25.97,0.0,optimal,32.33454151311889,32.329946961000005
internal:relpscost,4,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,11521,12944,39.42,0.0,optimal,49.77636031387374,49.76896577599999
gcnn:il,0,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,2477,3483,17.91,0.0,optimal,21.975120244082063,21.96100814800002
gcnn:il,1,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,2416,3252,17.35,0.0,optimal,21.423155516851693,21.40774118500002
gcnn:il,2,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,1090,1452,5.75,0.0,optimal,7.504973445087671,7.499890017000013
gcnn:il,3,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,3104,3894,17.73,0.0,optimal,21.78781154099852,21.77204604099998
gcnn:il,4,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,5801,7590,44.06,0.0,optimal,52.05530967283994,52.01889934799999
gcnn:mdp,0,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,18947,21203,88.29,0.0,optimal,107.18942902330309,107.10636731400001
gcnn:mdp,1,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,66909,69617,261.17,0.0,optimal,328.9588692141697,328.93977290799995
gcnn:mdp,2,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,6833,8011,28.62,0.0,optimal,36.12722462369129,36.106036045999986
gcnn:mdp,3,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,13194,14612,57.91,0.0,optimal,72.40429364982992,72.34673060700004
gcnn:mdp,4,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,27529,31251,130.2,0.0,optimal,158.9476419640705,158.81911410599992
gcnn:tmdp+DFS,0,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,32983,35053,152.04,0.0,optimal,185.46238924004138,185.51759119299993
gcnn:tmdp+DFS,1,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,48036,51529,189.78,0.0,optimal,240.5758510180749,240.65759117799985
gcnn:tmdp+DFS,2,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,6597,7663,26.81,0.0,optimal,33.871656684204936,33.88367120900011
gcnn:tmdp+DFS,3,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,12847,14669,55.71,0.0,optimal,69.99267952609807,70.01660857000002
gcnn:tmdp+DFS,4,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,16187,18578,77.89,0.0,optimal,94.61389849986881,94.64474647899988
gcnn:tmdp+ObjLim,0,test,data/instances/ufacilities/test_35_35_5/instance_1.lp,17762,20023,84.74,0.0,optimal,102.96204135892913,102.99230552699987
